item_id,product_name,product_line,product_group,brand,department,category,sub_category
1,Mystic Jasmin Eau De Parfum 50Ml,Nan,Admin,Admin,Admin,Admin,Admin
2,Mystic Oud Eau De Toilette 50Ml,Private Blend 1,Prestige Global Alliance,Beck London,Body Care,Promo_Plv,Eau_De_Parfum
3,Tester - Imperial Oud Scent 100Ml,Private Blend 2,Prestige Global Alliance,Beck London,Body Care,Promo_Plv,Sampling_Vial
4,Vanilla Jasmin Eau De Toilette 100Ml,Gold Collection 3,Prestige Global Alliance,Beck London,Body Care,Promo_Plv,Eau_De_Parfum
5,Savage Jasmin Eau De Toilette 50Ml,Oud Intense 4,Prestige Global Alliance,Beck London,Body Care,Promo_Plv,Counter_Display
6,Mystic Oud Eau De Toilette 50Ml (Batch 3002),Gold Collection 5,Prestige Global Alliance,Beck London,Body Care,Body Lotion,Sampling_Vial
7,Vanilla Musk Eau De Toilette 100Ml,Oud Intense 4,Prestige Global Alliance,Beck London,Body Care,Promo_Plv,Counter_Display
8,Royal Oud Eau De Parfum 100Ml,Gold Collection 5,Prestige Global Alliance,Beck London,Body Care,Body Lotion,Sampling_Vial
9,Mystic Sandalwood Eau De Parfum 100Ml,Gold Collection 5,Prestige Global Alliance,Beck London,Body Care,Body Lotion,Sampling_Vial
10,Velvet Oud Eau De Toilette 50Ml,Gold Collection 5,Prestige Global Alliance,Beck London,Body Care,Body Lotion,Sampling_Vial
11,Vanilla Citrus Eau De Toilette 50Ml,Gold Collection 5,Prestige Global Alliance,Beck London,Body Care,Body Lotion,Sampling_Vial
12,Savage Citrus Eau De Parfum 100Ml,Gold Collection 5,Prestige Global Alliance,Beck London,Body Care,Body Lotion,Sampling_Vial
13,Vanilla Oud Eau De Toilette 50Ml,Gold Collection 5,Prestige Global Alliance,Beck London,Body Care,Body Lotion,Sampling_Vial
14,Rose Oud Eau De Toilette 50Ml,Gold Collection 5,Prestige Global Alliance,Beck London,Body Care,Body Lotion,Sampling_Vial
15,Imperial Jasmin Eau De Parfum 100Ml,Noir Series 6,Prestige Global Alliance,Beck London,Body Care,Body Lotion,Sampling_Vial
16,Tester - Mystic Jasmin Scent 100Ml,Noir Series 6,Prestige Global Alliance,Beck London,Body Care,Promo_Plv,Sampling_Vial
17,Velvet Musk Eau De Toilette 100Ml,Noir Series 6,Prestige Global Alliance,Beck London,Body Care,Body Lotion,Sampling_Vial
18,Royal Sandalwood Eau De Toilette 100Ml,Noir Series 6,Prestige Global Alliance,Beck London,Body Care,Body Lotion,Sampling_Vial
19,Ambre Sandalwood Eau De Toilette 50Ml,Oud Intense 4,Prestige Global Alliance,Beck London,Body Care,Promo_Plv,Counter_Display
